City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port elizabeth,-33.918,25.5701,56.86,72,14,4.47,ZA,1694718460
1,blackmans bay,-43.0167,147.3167,60.93,64,100,8.68,AU,1694718716
2,porto novo,6.4965,2.6036,78.62,88,13,7.27,BJ,1694718716
3,hamilton,39.1834,-84.5333,79.59,49,100,6.91,US,1694718477
4,sur,22.5667,59.5289,84.38,71,100,12.48,OM,1694718717
5,uturoa,-16.7333,-151.4333,76.48,82,100,23.02,PF,1694718717
6,nizhneangarsk,55.7833,109.55,45.39,68,13,8.97,RU,1694718717
7,invercargill,-46.4,168.35,43.02,79,82,13.0,NZ,1694718718
8,bethel,41.3712,-73.414,77.9,55,0,9.22,US,1694718547
9,puerto ayacucho,5.6639,-67.6236,91.94,55,66,4.94,VE,1694718718
10,batticaloa,7.7102,81.6924,79.16,82,100,7.16,LK,1694718718
11,selkirk,50.1436,-96.8845,71.11,66,28,12.35,CA,1694718719
12,iqaluit,63.7506,-68.5145,40.69,60,100,18.01,CA,1694718580
13,olonkinbyen,70.9221,-8.7187,39.58,79,21,5.03,SJ,1694718719
14,tiksi,71.6872,128.8694,34.88,100,100,3.31,RU,1694718719
15,stanley,54.868,-1.6985,56.79,83,20,3.44,GB,1694718720
16,adamstown,-25.066,-130.1015,64.4,57,100,20.4,PN,1694718720
17,saipan,15.1355,145.701,79.5,89,0,4.61,MP,1694718720
18,vadso,70.0744,29.7487,40.08,87,20,4.61,NO,1694718721
19,bossangoa,6.4926,17.4552,71.89,94,100,2.51,CF,1694718721
20,mel'nikovo,56.5558,84.085,45.25,95,5,4.5,RU,1694718721
21,port-aux-francais,-49.35,70.2167,38.3,85,94,36.46,TF,1694718722
22,puerto natales,-51.7236,-72.4875,41.59,72,100,4.18,CL,1694718488
23,kiknur,57.3034,47.2011,59.56,50,98,2.95,RU,1694718723
24,kukawa,12.9234,13.5606,80.01,72,99,9.26,NG,1694718723
25,udachny,66.4167,112.4,44.89,94,100,8.81,RU,1694718723
26,atafu village,-8.5421,-172.5159,82.9,73,3,8.99,TK,1694718724
27,chibougamau,49.9168,-74.3659,53.22,71,100,14.97,CA,1694718724
28,camiri,-20.05,-63.5167,79.92,20,48,7.11,BO,1694718725
29,lebu,-37.6167,-73.65,54.64,97,100,8.14,CL,1694718725
30,constantia,44.1833,28.65,68.7,63,60,18.99,RO,1694718725
31,karmaskaly,54.3709,56.1837,53.51,69,76,3.29,RU,1694718725
32,enshi,30.3,109.4833,66.34,91,42,1.77,CN,1694718726
